pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\02_ddqn_vec_attention\DDQN_seed0_0806_175409
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / AttentionQNetwork (269,321 trainable parameters)
arch    : 
            [agent encoder]     Linear(2->256) -> LayerNorm -> ReLU
            [ball encoder]      Linear(4->256) -> LayerNorm -> ReLU  (x,y,vx,vy; x,y는 agent 기준 상대좌표. 공 40개에 각각 동일하게 적용, 파라미터 공유)
            [+ sentinel]        학습되는 '공 없음' key/value 1개 추가 (항상 마스킹 안 함)
            [cross-attention]   Q=agent embed(1개) , K=V=ball embed(40개)+sentinel(1개) -> 4 head x 64dim -> softmax(QK^T/sqrt(d))·V (mask=0인 빈 슬롯은 attention에서 제외)
            [out_proj]          Linear(256->256)
            [combine]           agent embed + attention -> LayerNorm -> ReLU
            [head]              Linear(256->9)
run     : device=cuda, seed=0, episodes=3000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=256, layer_norm=True, dueling_net=False, use_attention=True(4 heads, fusion=residual, position=relative), augmentation=False(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.0033
env     : type=vec, obs=(202,), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 2380/3000 steps=977412 score20=31.95 eps=0.010 loss=0.00650 q=1.192 sps=297 elapsed=54.9m
ep 2400/3000 steps=988550 score20=36.60 eps=0.010 loss=0.00601 q=1.189 sps=297 elapsed=55.4m
  [eval] ep=2400 mean=46.70+-4.51 median=49.5 max=90 P(>=120)=0.00 entropy=1.39/2.20 wnorm=38.010 srank=67/256
ep 2420/3000 steps=1001497 score20=42.65 eps=0.010 loss=0.00587 q=1.164 sps=296 elapsed=56.3m
ep 2440/3000 steps=1010106 score20=28.30 eps=0.010 loss=0.00701 q=1.166 sps=297 elapsed=56.7m
ep 2460/3000 steps=1018985 score20=29.15 eps=0.010 loss=0.00623 q=1.166 sps=297 elapsed=57.2m
ep 2480/3000 steps=1031552 score20=41.40 eps=0.010 loss=0.00696 q=1.172 sps=297 elapsed=57.8m
ep 2500/3000 steps=1040588 score20=29.60 eps=0.010 loss=0.00677 q=1.170 sps=298 elapsed=58.3m
  [eval] ep=2500 mean=46.15+-3.58 median=41.0 max=81 P(>=120)=0.00 entropy=1.43/2.20 wnorm=38.487 srank=64/256
ep 2520/3000 steps=1050907 score20=33.95 eps=0.010 loss=0.00719 q=1.166 sps=297 elapsed=59.0m
ep 2540/3000 steps=1061813 score20=35.85 eps=0.010 loss=0.00641 q=1.146 sps=297 elapsed=59.6m
ep 2560/3000 steps=1073332 score20=37.95 eps=0.010 loss=0.00658 q=1.143 sps=297 elapsed=60.2m
ep 2580/3000 steps=1083821 score20=34.45 eps=0.010 loss=0.00701 q=1.149 sps=298 elapsed=60.7m
ep 2600/3000 steps=1092707 score20=29.20 eps=0.010 loss=0.00633 q=1.151 sps=298 elapsed=61.1m
  [eval] ep=2600 mean=35.45+-3.06 median=35.5 max=61 P(>=120)=0.00 entropy=1.34/2.20 wnorm=39.068 srank=57/256
ep 2620/3000 steps=1103673 score20=36.05 eps=0.010 loss=0.00642 q=1.126 sps=297 elapsed=61.9m
ep 2640/3000 steps=1115398 score20=38.65 eps=0.010 loss=0.00609 q=1.134 sps=298 elapsed=62.4m
ep 2660/3000 steps=1127145 score20=38.65 eps=0.010 loss=0.00623 q=1.155 sps=298 elapsed=63.1m
ep 2680/3000 steps=1139948 score20=42.20 eps=0.010 loss=0.00667 q=1.159 sps=298 elapsed=63.8m
ep 2700/3000 steps=1149209 score20=30.40 eps=0.010 loss=0.00685 q=1.179 sps=298 elapsed=64.2m
  [eval] ep=2700 mean=31.35+-3.93 median=29.0 max=81 P(>=120)=0.00 entropy=1.42/2.20 wnorm=39.628 srank=61/256
ep 2720/3000 steps=1159954 score20=35.25 eps=0.010 loss=0.00583 q=1.178 sps=298 elapsed=65.0m
ep 2740/3000 steps=1173163 score20=43.65 eps=0.010 loss=0.00475 q=1.192 sps=298 elapsed=65.6m
ep 2760/3000 steps=1184834 score20=38.45 eps=0.010 loss=0.00647 q=1.202 sps=299 elapsed=66.1m
ep 2780/3000 steps=1196983 score20=40.10 eps=0.010 loss=0.00550 q=1.163 sps=298 elapsed=66.8m
ep 2800/3000 steps=1207209 score20=33.55 eps=0.010 loss=0.00658 q=1.162 sps=298 elapsed=67.5m
  [eval] ep=2800 mean=35.20+-3.66 median=35.0 max=70 P(>=120)=0.00 entropy=1.45/2.20 wnorm=40.137 srank=68/256
ep 2820/3000 steps=1219810 score20=41.40 eps=0.010 loss=0.00500 q=1.157 sps=297 elapsed=68.4m
ep 2840/3000 steps=1231295 score20=37.80 eps=0.010 loss=0.00496 q=1.145 sps=297 elapsed=69.2m
ep 2860/3000 steps=1243445 score20=39.90 eps=0.010 loss=0.00531 q=1.163 sps=297 elapsed=69.9m
ep 2880/3000 steps=1253130 score20=31.80 eps=0.010 loss=0.00484 q=1.163 sps=296 elapsed=70.5m
ep 2900/3000 steps=1263942 score20=35.45 eps=0.010 loss=0.00535 q=1.158 sps=296 elapsed=71.1m
  [eval] ep=2900 mean=40.70+-3.85 median=40.5 max=70 P(>=120)=0.00 entropy=1.05/2.20 wnorm=40.577 srank=63/256
