pygame-ce 2.5.7 (SDL 2.32.10, Python 3.14.6)
output: final_results\08_ddqn_img_cnn_aug_5000\DDQN_seed0_0806_211939
random baseline: mean=9.80+-1.28 max=21

[training setup]
model   : DDQN / NatureCNN (1,688,745 trainable parameters)
arch    : 
            [conv1]  Conv2d(4->32,k=8,s=4) -> ReLU
            [conv2]  Conv2d(32->64,k=4,s=2) -> ReLU
            [conv3]  Conv2d(64->64,k=3,s=1) -> ReLU
            [fc]     Flatten -> Linear(3136->512) -> ReLU
            [head]   Linear(512->9)
run     : device=cuda, seed=0, episodes=5000
optim   : lr=0.0001, gamma=0.99, batch=32, buffer=100000, hidden=512, layer_norm=False, dueling_net=False, use_attention=False(4 heads, fusion=residual, position=relative), augmentation=True(spawn_safe), loss_fn=mse, max_grad_norm=10
update  : learning_starts=8000, train_every=4, target_every=1000
explore : epsilon=1->0.01, decay=0.00198
env     : type=img, obs=(4, 84, 84), actions=9, frame_stack=4, frame_skip=4, max_steps=10800
logging : log_every=20, eval_every=100, eval_episodes=20
artifact: best_agent.gif + best_agent_observation.gif, seed=20000, model_fps=15, decision_frames=True

ep 1280/5000 steps=179717 score20=7.10 eps=0.010 loss=0.01484 q=0.517 sps=391 elapsed=7.7m
ep 1300/5000 steps=182746 score20=9.60 eps=0.010 loss=0.01807 q=0.557 sps=390 elapsed=7.8m
  [eval] ep=1300 mean=8.60+-1.23 median=8.0 max=17 P(>=120)=0.00 entropy=1.81/2.20 wnorm=30.247 srank=227/512
ep 1320/5000 steps=185945 score20=10.05 eps=0.010 loss=0.01456 q=0.556 sps=388 elapsed=8.0m
ep 1340/5000 steps=189041 score20=9.85 eps=0.010 loss=0.01529 q=0.519 sps=387 elapsed=8.1m
ep 1360/5000 steps=192072 score20=9.65 eps=0.010 loss=0.01665 q=0.575 sps=387 elapsed=8.3m
ep 1380/5000 steps=194959 score20=9.10 eps=0.010 loss=0.01749 q=0.570 sps=388 elapsed=8.4m
ep 1400/5000 steps=198271 score20=10.45 eps=0.010 loss=0.01693 q=0.593 sps=388 elapsed=8.5m
  [eval] ep=1400 mean=10.60+-1.49 median=10.0 max=31 P(>=120)=0.00 entropy=1.81/2.20 wnorm=31.281 srank=229/512
ep 1420/5000 steps=201419 score20=9.95 eps=0.010 loss=0.01736 q=0.597 sps=386 elapsed=8.7m
